sheet,blend_key,blend_id,target_grade,seq,ratio,batch_id,weight,bloom,viscosity,t450,t620,moisture,so2,lot_no,sheet_ord,blend_month,blend_day,line,lot_ym,batch_yy,lot_year,lot_month
103-04,103-04#104@r26c0,104,220,1,0.10505365853658537,C02B241223A1,538.4,194.1,5.38,74.8,90.1,11.61,,24070274,2,1,3,B线,2407,24,2024,7
103-04,103-04#104@r26c0,104,220,2,0.08585365853658537,C02B241223A2,440.0,190.8,5.52,74.8,90.2,13.35,,24070275,2,1,3,B线,2407,24,2024,7
103-04,103-04#104@r26c0,104,220,3,0.059199999999999996,C02B241223B1,303.4,188.0,5.55,70.3,87.6,13.5,,24070276,2,1,3,B线,2407,24,2024,7
103-04,103-04#104@r26c0,104,220,4,0.10181463414634145,C02B241231C2,521.8,266.5,4.57,90.5,97.3,12.45,,24070287,2,1,3,B线,2407,24,2024,7
103-04,103-04#104@r26c0,104,220,5,0.06364878048780488,C02B241231D1,326.2,268.2,4.61,90.6,97.5,10.93,,24070288,2,1,3,B线,2407,24,2024,7
103-04,103-04#104@r26c0,104,220,6,0.09237073170731706,C02B241231F1,473.4,256.7,4.69,90.7,97.5,10.99,,24070291,2,1,3,B线,2407,24,2024,7
103-04,103-04#104@r26c0,104,220,7,0.10595121951219512,C02B241221D1,543.0,259.0,4.63,88.5,96.9,11.06,,24070266,2,1,3,B线,2407,24,2024,7
103-04,103-04#104@r26c0,104,220,8,0.09986341463414634,C02B241371B3,511.8,283.1,4.94,95.0,98.8,12.63,,24100149,2,1,3,B线,2410,24,2024,10
103-04,103-04#104@r26c0,104,220,9,0.07898536585365853,C02B241382B2,404.8,237.1,5.05,91.4,97.2,13.01,,24100177,2,1,3,B线,2410,24,2024,10
103-04,103-04#104@r26c0,104,220,10,0.10396097560975609,C02B241364A1,532.8,205.3,4.66,83.2,94.0,13.77,,24100144,2,1,3,B线,2410,24,2024,10
103-04,103-04#104@r26c0,104,220,11,0.10329756097560976,C02B241372A2,529.4,241.3,5.24,92.9,98.0,13.87,,24100154,2,1,3,B线,2410,24,2024,10
105,105#105@r0c0,105,,1,0.040081097941359944,C02B241381A1,205.6,295.0,4.75,92.2,97.6,12.37,,24100166,3,1,5,B线,2410,24,2024,10
105,105#105@r0c0,105,,2,0.09505614472863382,C02B241381B1,487.6,295.3,4.77,92.6,97.8,12.0,,24100167,3,1,5,B线,2410,24,2024,10
105,105#105@r0c0,105,,3,0.10024173424828448,C02B241381B2,514.2,296.2,4.75,92.7,97.8,12.34,,24100168,3,1,5,B线,2410,24,2024,10
105,105#105@r0c0,105,,4,0.09158608858390517,C02B241381C1,469.8,294.2,4.77,93.0,97.8,12.15,,24100169,3,1,5,B线,2410,24,2024,10
105,105#105@r0c0,105,,5,0.09790237055520898,C02B241381D2,502.2,269.3,4.8,92.8,98.0,13.42,,24100171,3,1,5,B线,2410,24,2024,10
105,105#105@r0c0,105,,6,0.08944167186525265,C02B241381E2,458.8,255.8,5.02,93.1,98.1,13.82,,24100173,3,1,5,B线,2410,24,2024,10
105,105#105@r0c0,105,,7,0.09876013724266999,C02B241233A3,506.6,210.5,5.76,76.4,91.4,11.57,,24070299,3,1,5,B线,2407,24,2024,7
105,105#105@r0c0,105,,8,0.08546475358702432,C02B241284A3,438.4,135.7,3.65,83.6,94.2,14.38,,24090109,3,1,5,B线,2409,24,2024,9
105,105#105@r0c0,105,,9,0.034661572052401744,C02B241371A1,177.8,289.5,4.89,94.9,98.8,13.27,,24100146,3,1,5,B线,2410,24,2024,10
105,105#105@r0c0,105,,10,0.1072988147223955,C02B241372A1,550.4,243.5,5.16,93.1,98.2,13.64,,24100153,3,1,5,B线,2410,24,2024,10
105,105#105@r0c0,105,,11,0.060823456019962564,C02B241301F2,312.0,254.9,5.49,92.6,97.6,12.54,,24090154,3,1,5,B线,2409,24,2024,9
105,105#105@r0c0,105,,12,0.0986821584529008,C02B241301E3,506.2,265.2,5.73,94.4,98.5,12.62,,24090152,3,1,5,B线,2409,24,2024,9
106,106#106@r0c0,106,,1,0.07686465137475317,C02A250021F2,404.8,250.9,5.57,88.1,97.0,12.15,,25010047,4,1,6,A线,2501,25,2025,1
106,106#106@r0c0,106,,2,0.10090384323256874,C02A241944C1,531.4,102.7,2.57,64.9,86.6,12.81,,25010009,4,1,6,A线,2501,24,2025,1
106,106#106@r0c0,106,,3,0.09786571471973264,C02A250022A1,515.4,246.6,5.52,84.2,95.1,11.66,,25010048,4,1,6,A线,2501,25,2025,1
106,106#106@r0c0,106,,4,0.0831307914324776,C02A241904B1,437.8,127.7,3.31,62.4,85.7,12.76,,24120525,4,1,6,A线,2412,24,2024,12
106,106#106@r0c0,106,,5,0.10067598359410605,C02A250022A2,530.2,242.5,5.55,82.4,94.2,11.64,,25010049,4,1,6,A线,2501,25,2025,1
106,106#106@r0c0,106,,6,0.06452225429135654,24LMB0234E1,339.8,67.0,2.11,81.5,96.3,10.75,,24020056,4,1,6,LMB(外购/旧料),2402,,2024,2
106,106#106@r0c0,106,,7,0.06824396171958073,24LMB0234G1,359.4,69.9,2.11,80.7,95.9,10.17,,24020057,4,1,6,LMB(外购/旧料),2402,,2024,2
106,106#106@r0c0,106,,8,0.09908096612486708,C02A250022A3,521.8,242.4,5.52,82.5,94.3,11.71,,25010050,4,1,6,A线,2501,25,2025,1
106,106#106@r0c0,106,,9,0.10891690718517394,24LMB0284C1,573.6,74.6,2.28,73.6,90.7,11.99,,24020200,4,1,6,LMB(外购/旧料),2402,,2024,2
106,106#106@r0c0,106,,10,0.10610663831080054,24LMB0284C4,558.8,77.2,2.24,71.3,88.8,11.96,,24020203,4,1,6,LMB(外购/旧料),2402,,2024,2
106,106#106@r0c0,106,,11,0.04086282849764545,C02A241941F1,215.2,250.2,5.71,87.3,96.3,12.36,,24120629,4,1,6,A线,2412,24,2024,12
106,106#106@r0c0,106,,12,0.05282545951693757,C02A241941G1,278.2,246.8,5.87,86.4,96.9,12.38,,24120630,4,1,6,A线,2412,24,2024,12
107,107#107@r0c0,107,,1,0.09806122054100073,C02A250024A1,506.8,151.1,4.03,77.9,94.2,11.48,,25010056,5,1,7,A线,2501,25,2025,1
107,107#107@r0c0,107,,2,0.10018962114469254,C02A250024A2,517.8,148.2,3.89,77.9,94.1,11.54,,25010057,5,1,7,A线,2501,25,2025,1
107,107#107@r0c0,107,,3,0.1017762470492628,C02A250024A3,526.0,141.9,3.7,76.9,93.7,11.63,,25010058,5,1,7,A线,2501,25,2025,1
107,107#107@r0c0,107,,4,0.09945435548159902,C02A250024B1,514.0,112.0,2.96,72.6,91.9,12.27,,25010059,5,1,7,A线,2501,25,2025,1
107,107#107@r0c0,107,,5,0.09771293680585116,C02A250024B2,505.0,106.8,2.83,71.2,91.5,12.46,,25010060,5,1,7,A线,2501,25,2025,1
107,107#107@r0c0,107,,6,0.0996865446383654,C02A250022B1,515.2,234.6,5.57,79.7,93.3,11.77,,25010051,5,1,7,A线,2501,25,2025,1
107,107#107@r0c0,107,,7,0.10692310669091754,23LMB2334C3,552.6,69.1,2.24,67.7,87.4,11.81,,23120403,5,1,7,LMB(外购/旧料),2312,,2023,12
107,107#107@r0c0,107,,8,0.09980263921674858,C02A250011D1,515.8,265.0,5.6,88.1,97.6,12.41,,25010018,5,1,7,A线,2501,25,2025,1
107,107#107@r0c0,107,,9,0.09709376572114083,C02A250031F3,501.8,259.3,5.41,89.1,97.8,10.87,,25010072,5,1,7,A线,2501,25,2025,1
107,107#107@r0c0,107,,10,0.09929956271042144,C02A250014B4,513.2,114.1,2.93,77.8,94.4,13.18,,25010034,5,1,7,A线,2501,25,2025,1
108,108#108@r0c0,108,,1,0.06999246540032518,C02A250034C2,353.0,96.0,2.38,68.2,89.2,12.04,,25010088,6,1,8,A线,2501,25,2025,1
108,108#108@r0c0,108,,2,0.10048776618947536,C02A241944A1,506.8,115.9,2.99,70.2,90.0,12.84,,25010004,6,1,8,A线,2501,24,2025,1
108,108#108@r0c0,108,,3,0.10663441329262005,C02A241944A2,537.8,112.0,2.99,70.6,90.5,12.89,,25010005,6,1,8,A线,2501,24,2025,1
108,108#108@r0c0,108,,4,0.10496887020660665,C02A241944A3,529.4,114.0,2.93,69.4,89.7,12.88,,25010006,6,1,8,A线,2501,24,2025,1
108,108#108@r0c0,108,,5,0.06340960463179601,C02A241944A4,319.8,112.3,2.87,68.8,89.4,12.9,,25010007,6,1,8,A线,2501,24,2025,1
108,108#108@r0c0,108,,6,0.10393781972478885,C02A250044A1,524.2,158.0,3.99,80.4,94.6,11.15,,25010108,6,1,8,A线,2501,25,2025,1
108,108#108@r0c0,108,,7,0.10147916088353096,C02A250044A2,511.8,158.4,4.03,79.8,94.1,11.04,,25010109,6,1,8,A线,2501,25,2025,1
108,108#108@r0c0,108,,8,0.08403061426815245,C02A250044A3,423.8,155.7,3.97,80.0,94.4,11.13,,25010110,6,1,8,A线,2501,25,2025,1
108,108#108@r0c0,108,,9,0.06313201411746044,C02A250011E3,318.4,262.3,5.84,85.6,96.7,12.17,,25010021,6,1,8,A线,2501,25,2025,1
108,108#108@r0c0,108,,10,0.10362057342269106,C02A250031F1,522.6,260.3,5.33,89.5,97.9,10.94,,25010070,6,1,8,A线,2501,25,2025,1
108,108#108@r0c0,108,,11,0.09830669786255306,C02A250032A2,495.8,248.3,5.55,83.0,95.1,11.08,,25010074,6,1,8,A线,2501,25,2025,1
109,109#109@r0c0,109,,1,0.09771244399025235,C02A250044B1,497.2,114.1,2.87,74.9,91.6,12.03,,25010111,7,1,9,A线,2501,25,2025,1
109,109#109@r0c0,109,,2,0.10290071535256663,C02A250044B2,523.6,112.7,2.87,73.1,90.7,12.02,,25010112,7,1,9,A线,2501,25,2025,1
109,109#109@r0c0,109,,3,0.09401776589890733,C02A250044C1,478.4,111.0,2.77,73.0,90.5,12.18,,25010113,7,1,9,A线,2501,25,2025,1
109,109#109@r0c0,109,,4,0.06709378193538244,C02A250044C2,341.4,109.7,2.7,72.2,90.0,12.17,,25010114,7,1,9,A线,2501,25,2025,1
109,109#109@r0c0,109,,5,0.09610093546104867,C02A250023A1,489.0,190.3,5.13,73.8,91.2,11.62,,25010053,7,1,9,A线,2501,25,2025,1
109,109#109@r0c0,109,,6,0.09987422372454996,C02A250043B1,508.2,204.4,5.68,77.1,92.6,11.94,,25010107,7,1,9,A线,2501,25,2025,1
109,109#109@r0c0,109,,7,0.09897020674475278,C02A250032A1,503.6,258.3,5.35,87.4,97.0,10.68,,25010073,7,1,9,A线,2501,25,2025,1
109,109#109@r0c0,109,,8,0.09975630846631556,C02A250014B1,507.6,117.1,3.06,77.8,94.2,13.22,,25010031,7,1,9,A线,2501,25,2025,1
109,109#109@r0c0,109,,9,0.10038518984356577,C02A241914A1,510.8,117.3,2.93,73.2,92.6,12.95,,24120550,7,1,9,A线,2412,24,2024,12
109,109#109@r0c0,109,,10,0.04783428975709457,C02A241851A1,243.4,249.9,4.75,81.8,93.4,10.74,,24120385,7,1,9,A线,2412,24,2024,12
109,109#109@r0c0,109,,11,0.09535413882556404,C02A241822B1,485.2,229.1,4.91,74.6,91.4,10.93,,24120310,7,1,9,A线,2412,24,2024,12
110,110#110@r0c0,110,,1,0.10368618174650109,C02A241882C1,526.0,211.4,5.24,71.2,90.7,12.63,,24120468,8,1,10,A线,2412,24,2024,12
110,110#110@r0c0,110,,2,0.09808791642026415,C02A241882C2,497.6,204.3,5.16,70.5,90.2,12.85,,24120469,8,1,10,A线,2412,24,2024,12
110,110#110@r0c0,110,,3,0.09138576779026218,C02A241882C3,463.6,205.2,5.19,69.4,89.4,12.89,,24120470,8,1,10,A线,2412,24,2024,12
110,110#110@r0c0,110,,4,0.0775478020894934,C02A241882D1,393.4,202.9,5.13,69.0,89.1,12.85,,24120471,8,1,10,A线,2412,24,2024,12
110,110#110@r0c0,110,,5,0.09860043366844076,C02A241921E2,500.2,225.2,5.0,89.4,97.7,12.73,,24120566,8,1,10,A线,2412,24,2024,12
110,110#110@r0c0,110,,6,0.09580130100532229,C02A241921E3,486.0,218.5,5.05,87.4,96.9,14.21,,24120567,8,1,10,A线,2412,24,2024,12
110,110#110@r0c0,110,,7,0.1023457520205007,C02A241943A2,519.2,162.5,4.41,65.0,87.2,13.912,,25010002,8,1,10,A线,2501,24,2025,1
110,110#110@r0c0,110,,8,0.10210920559826532,C02A241501C3,518.0,284.0,4.55,86.0,96.4,14.18,,24110164,8,1,10,A线,2411,24,2024,11
110,110#110@r0c0,110,,9,0.09946777054997044,C02A241932A1,504.6,219.1,4.97,84.7,96.1,12.62,,24120601,8,1,10,A线,2412,24,2024,12
110,110#110@r0c0,110,,10,0.03757145673171693,C02A250061A1,190.6,262.7,4.69,90.7,98.2,12.99,,25010147,8,1,10,A线,2501,25,2025,1
110,110#110@r0c0,110,,11,0.09339641237926277,C02A241921F1,473.8,217.2,5.08,87.3,97.0,12.46,,24120568,8,1,10,A线,2412,24,2024,12
110,110#111@r0c9,111,,1,0.07890365448504984,C02A241921F2,399.0,216.4,5.05,87.2,96.9,,,24120569,8,1,10,A线,2412,24,2024,12
110,110#111@r0c9,111,,2,0.04825185888308812,C02A241921F3,244.0,220.9,5.11,87.1,96.8,,,24120570,8,1,10,A线,2412,24,2024,12
110,110#111@r0c9,111,,3,0.09717607973421927,C02A241932A4,491.4,214.0,5.13,83.2,95.2,,,24120604,8,1,10,A线,2412,24,2024,12
110,110#111@r0c9,111,,4,0.0960686600221484,C02A241932B1,485.8,209.3,5.41,80.4,94.2,,,24120605,8,1,10,A线,2412,24,2024,12
110,110#111@r0c9,111,,5,0.09753203607024205,C02A241921E1,493.2,229.5,5.05,89.3,97.7,,,24120565,8,1,10,A线,2412,24,2024,12
110,110#111@r0c9,111,,6,0.09741338395823446,C02A241883A1,492.6,154.3,4.2,63.3,86.7,,,24120472,8,1,10,A线,2412,24,2024,12
110,110#111@r0c9,111,,7,0.10389969941464958,C02A250062B3,525.4,222.7,5.35,79.2,93.6,,,25010165,8,1,10,A线,2501,25,2025,1
110,110#111@r0c9,111,,8,0.048330960291093183,C02A250062B4,244.4,214.7,5.11,79.0,93.6,,,25010166,8,1,10,A线,2501,25,2025,1
110,110#111@r0c9,111,,9,0.04568106312292359,C02A250051A1,231.0,229.4,4.17,81.0,93.9,,,25010115,8,1,10,A线,2501,25,2025,1
110,110#111@r0c9,111,,10,0.09591045720613826,C02A250033A2,485.0,181.2,4.86,60.4,84.7,,,25010081,8,1,10,A线,2501,25,2025,1
110,110#111@r0c9,111,,11,0.09417022623002688,C02A241902B1,476.2,235.1,5.11,79.2,93.2,,,24120514,8,1,10,A线,2412,24,2024,12
110,110#111@r0c9,111,,12,0.09666192058218637,C02A241661B1,488.8,296.4,4.72,89.9,96.8,,,24110491,8,1,10,A线,2411,24,2024,11
115,115#115@r0c0,115,,1,0.09767826875320273,C02A241893A1,495.6,169.3,4.08,62.3,85.4,,,24120495,9,1,15,A线,2412,24,2024,12
115,115#115@r0c0,115,,2,0.0974417596278923,C02A241893A3,494.4,163.7,3.94,62.0,85.3,,,24120497,9,1,15,A线,2412,24,2024,12
115,115#115@r0c0,115,,3,0.09026764949347629,C02A241841C2,458.0,257.0,5.09,88.3,96.7,,,24120366,9,1,15,A线,2412,24,2024,12
115,115#115@r0c0,115,,4,0.09976743269344475,C02A241911C1,506.2,269.3,5.08,89.0,97.3,,,24120532,9,1,15,A线,2412,24,2024,12
115,115#115@r0c0,115,,5,0.042571642555875276,C02A250011A1,216.0,163.1,5.66,86.0,96.9,,,25010011,9,1,15,A线,2501,25,2025,1
115,115#115@r0c0,115,,6,0.09921557806772044,C02A241942A1,503.4,235.5,5.87,78.7,93.3,,,24120633,9,1,15,A线,2412,24,2024,12
115,115#115@r0c0,115,,7,0.10027986913161732,C02A241942A3,508.8,232.4,5.73,75.6,91.8,,,24120635,9,1,15,A线,2412,24,2024,12
115,115#115@r0c0,115,,8,0.09878197800465134,C02A241911E3,501.2,234.1,5.22,81.8,94.6,,,24120540,9,1,15,A线,2412,24,2024,12
115,115#115@r0c0,115,,9,0.09495841381213292,C02A241831G1,481.8,238.9,4.89,83.6,95.7,,,24120338,9,1,15,A线,2412,24,2024,12
115,115#115@r0c0,115,,10,0.08683826717647523,C02A250061F1,440.6,234.4,5.11,89.3,97.7,,,25010158,9,1,15,A线,2501,25,2025,1
115,115#115@r0c0,115,,11,0.09219914068351137,C02A250053A1,467.8,164.5,4.38,69.2,88.6,,,25010134,9,1,15,A线,2501,25,2025,1
116,116#116@r0c0,116,,1,0.10057038738810109,C02A250064A3,507.8,102.9,2.77,78.2,94.6,,,25010172,10,1,16,A线,2501,25,2025,1
116,116#116@r0c0,116,,2,0.10496712350471363,C02A250064A4,530.0,104.9,2.74,78.8,95.0,,,25010173,10,1,16,A线,2501,25,2025,1
116,116#116@r0c0,116,,3,0.09031133644933852,C02A250073A3,456.0,152.5,3.94,71.9,88.3,,,25010197,10,1,16,A线,2501,25,2025,1
116,116#116@r0c0,116,,4,0.1087697060920542,C02A250074A2,549.2,104.4,2.64,80.0,94.1,,,25010199,10,1,16,A线,2501,25,2025,1
116,116#116@r0c0,116,,5,0.058266656103937255,C02A250064C1,294.2,103.4,2.61,75.3,93.0,,,25010176,10,1,16,A线,2501,25,2025,1
116,116#116@r0c0,116,,6,0.10053077715281629,C02A241933A1,507.6,189.0,5.13,63.4,86.1,,,24120607,10,1,16,A线,2412,24,2024,12
116,116#116@r0c0,116,,7,0.08175552562782223,C02A241931F1,412.8,239.8,4.8,82.0,94.4,,,24120598,10,1,16,A线,2412,24,2024,12
116,116#116@r0c0,116,,8,0.0985898756238612,C02A241922A1,497.8,204.7,5.02,73.2,90.0,,,24120571,10,1,16,A线,2412,24,2024,12
116,116#116@r0c0,116,,9,0.09779767091816526,C02A241922A2,493.8,202.0,5.02,72.4,89.6,,,24120572,10,1,16,A线,2412,24,2024,12
116,116#116@r0c0,116,,10,0.15844094113919038,,800.0,167.0,3.8,76.0,,,,,10,1,16,无批号(计划/虚拟行),,,,
117,117#117-2@r0c0,117-2,,1,0.10717434869739478,C02A250054B2,534.8,129.4,3.18,76.8,92.9,10.91,,25010140,11,1,17,A线,2501,25,2025,1
117,117#117-2@r0c0,117-2,,2,0.10432865731462926,C02A250054B3,520.6,125.2,3.12,76.5,92.7,11.02,,25010141,11,1,17,A线,2501,25,2025,1
117,117#117-2@r0c0,117-2,,3,0.10324649298597195,C02A250054C1,515.2,122.2,3.03,76.6,93.0,11.12,,25010142,11,1,17,A线,2501,25,2025,1
117,117#117-2@r0c0,117-2,,4,0.0931062124248497,C02A250052B1,464.6,236.4,5.49,82.5,95.3,11.44,,25010130,11,1,17,A线,2501,25,2025,1
117,117#117-2@r0c0,117-2,,5,0.04236472945891784,C02A250052C3,211.4,209.9,5.52,71.7,90.2,12.19,,25010133,11,1,17,A线,2501,25,2025,1
117,117#117-2@r0c0,117-2,,6,0.0903807615230461,C02A250014A1,451.0,133.2,3.31,75.3,92.4,13.69,,25010029,11,1,17,A线,2501,25,2025,1
117,117#117-2@r0c0,117-2,,7,0.05418837675350701,C02A250014A2,270.4,130.3,3.24,75.9,93.0,13.49,,25010030,11,1,17,A线,2501,25,2025,1
117,117#117-2@r0c0,117-2,,8,0.10308617234468938,C02A241914A4,514.4,110.6,2.8,63.0,87.2,12.55,,24120553,11,1,17,A线,2412,24,2024,12
117,117#117-2@r0c0,117-2,,9,0.10128256513026052,C02A250051F1,505.4,247.8,5.66,86.3,97.1,11.65,,25010126,11,1,17,A线,2501,25,2025,1
117,117#117-2@r0c0,117-2,,10,0.10296593186372745,C02A250051F2,513.8,245.8,5.68,86.0,96.9,11.59,,25010127,11,1,17,A线,2501,25,2025,1
117,117#117-2@r0c0,117-2,,11,0.062164328657314624,C02A241944B1,310.2,105.8,2.64,64.0,86.3,12.58,,25010008,11,1,17,A线,2501,24,2025,1
117,117#117-2@r0c0,117-2,,12,0.03571142284569138,C02A241734C3,178.2,113.1,2.77,63.4,87.0,11.94,,24120131,11,1,17,A线,2412,24,2024,12
117,117#117-1@r0c9,117-1,,1,0.10160003176241712,C02A250033A1,511.8,187.9,5.0,61.9,85.5,10.99,,25010080,11,1,17,A线,2501,25,2025,1
117,117#117-1@r0c9,117-1,,2,0.0589986898002938,C02A250033A3,297.2,180.1,4.89,60.3,84.6,10.88,,25010082,11,1,17,A线,2501,25,2025,1
117,117#117-1@r0c9,117-1,,3,0.1029499344900147,C02A250063A1,518.6,153.6,3.73,79.5,93.8,11.73,,25010167,11,1,17,A线,2501,25,2025,1
117,117#117-1@r0c9,117-1,,4,0.10167943780521699,C02A250063A2,512.2,151.4,3.65,79.1,93.4,11.68,,25010168,11,1,17,A线,2501,25,2025,1
117,117#117-1@r0c9,117-1,,5,0.09592249970222734,C02A250063B1,483.2,148.3,3.61,79.0,93.5,11.8,,25010169,11,1,17,A线,2501,25,2025,1
117,117#117-1@r0c9,117-1,,6,0.10263231031881527,C02A250064A1,517.0,106.7,2.74,79.4,95.2,12.12,,25010170,11,1,17,A线,2501,25,2025,1
117,117#117-1@r0c9,117-1,,7,0.10557033390240997,C02A250064A2,531.8,104.5,2.74,78.3,94.7,11.99,,25010171,11,1,17,A线,2501,25,2025,1
117,117#117-1@r0c9,117-1,,8,0.09207130662643428,C02A241831G3,463.8,238.4,4.89,82.6,94.6,12.69,,24120340,11,1,17,A线,2412,24,2024,12
117,117#117-1@r0c9,117-1,,9,0.0496684797713106,C02A241931F2,250.2,239.0,4.72,81.6,94.0,12.04,,24120599,11,1,17,A线,2412,24,2024,12
117,117#117-1@r0c9,117-1,,10,0.09774883868662405,C02A241932A2,492.4,217.2,5.13,84.1,95.7,12.68,,24120602,11,1,17,A线,2412,24,2024,12
117,117#117-1@r0c9,117-1,,11,0.056695914559097955,C02A250054D1,285.6,105.0,2.64,76.6,93.1,11.71,,25010145,11,1,17,A线,2501,25,2025,1
117,117#117-1@r0c9,117-1,,12,0.03446222257513797,C02A250054E1,173.6,102.7,2.74,76.3,93.1,11.29,,25010146,11,1,17,A线,2501,25,2025,1
118,118#118@r0c0,118,,1,0.4918250950570342,C02A241893B1,517.4,144.3,3.53,71.8,90.4,,,24120498,12,1,18,A线,2412,24,2024,12
118,118#118@r0c0,118,,2,0.5081749049429658,C02A241923A1,534.6,130.4,3.31,75.0,92.3,,,24120577,12,1,18,A线,2412,24,2024,12
119-20,119-20#119@r0c0,119,,1,,C02A241802A1,0.0,233.9,4.77,85.1,96.7,,,24120254,13,1,19,A线,2412,24,2024,12
119-20,119-20#119@r0c0,119,,2,0.06583278472679395,C02A241803A3,300.0,223.3,5.35,74.7,92.1,,,24120263,13,1,19,A线,2412,24,2024,12
119-20,119-20#119@r0c0,119,,3,0.10528856703971912,C02A241823B3,479.8,207.4,5.24,70.2,89.1,,,24120319,13,1,19,A线,2412,24,2024,12
119-20,119-20#119@r0c0,119,,4,0.08997147245995173,C02A241823B4,410.0,208.5,5.02,71.3,89.6,,,24120320,13,1,19,A线,2412,24,2024,12
119-20,119-20#119@r0c0,119,,5,0.1076585472898837,C02A241832A2,490.6,204.9,4.75,75.3,91.7,,,24120342,13,1,19,A线,2412,24,2024,12
119-20,119-20#119@r0c0,119,,6,0.10805354399824445,C02A241932A3,492.4,221.1,5.13,83.9,95.6,,,24120603,13,1,19,A线,2412,24,2024,12
